Coop,Society,Producer,ProducerID,Field ID,Field,FIELD Size,DOBProducer,FarmerGender,NationalId,PurchasingClerkCard,PhoneNumber,Hhsize,NumberChildren,HHAssessed
Sankofa,Highgate Society,Lucas Patel,SNK-0020,SNK-0020-F2,Field 2,3.61,1986,Male,,,,,,
Sankofa,Highgate Society,Aisha Khan,SNK-0021,SNK-0021-F1,Field 1,0.76,1983,Female,NID-879115458-0,,,5,0,Yes
Sankofa,Southbank Society,Chen Kim,SNK-0022,SNK-0022-F1,Field 1,4.21,1986,Male,,,+1490442821,4,5,Yes
Sankofa,Clearwater Society,Lucas Wang,SNK-0023,SNK-0023-F1,Field 1,1.39,1961,Male,NID-395948191-0,,+1454619331,8,0,
Sankofa,Clearwater Society,Lucas Wang,SNK-0023,SNK-0023-F2,Field 2,1.22,1961,Male,,,,,,
Sankofa,Highgate Society,Noah Costa,SNK-0024,SNK-0024-F1,Field 1,1.92,1995,Male,NID-474068420-0,,+1329141785,2,3,
Sankofa,Highgate Society,Noah Costa,SNK-0024,SNK-0024-F2,Field 2,4.70,1995,Male,,,,,,
Sankofa,Clearwater Society,Sarah Ivanov,SNK-0025,SNK-0025-F1,Field 1,2.17,1998,Female,,,,9,6,Yes
Sankofa,Clearwater Society,Lucas Nguyen,SNK-0026,SNK-0026-F1,Field 1,4.59,1991,Male,,,+1545072386,7,6,No
Sankofa,Clearwater Society,Lucas Nguyen,SNK-0026,SNK-0026-F2,Field 2,3.54,1991,Male,,,,,,
Sankofa,Clearwater Society,Arjun Novak,SNK-0027,SNK-0027-F1,Field 1,2.97,1993,Male,NID-894879453-8,,,8,5,Yes
Sankofa,Clearwater Society,Arjun Novak,SNK-0027,SNK-0027-F2,Field 2,3.69,1993,Male,,,,,,
Sankofa,Clearwater Society,Omar Wang,SNK-0028,SNK-0028-F1,Field 1,2.19,1990,Male,NID-466545405-6,,,10,0,Yes
Sankofa,Clearwater Society,Chen Kim,SNK-0029,SNK-0029-F1,Field 1,3.99,1986,Male,,,,9,2,
Sankofa,Clearwater Society,Chen Kim,SNK-0029,SNK-0029-F2,Field 2,4.09,1986,Male,,,,,,
Sankofa,Goldfield Society,Lucas Muller,SNK-0030,SNK-0030-F1,Field 1,0.96,1993,Male,NID-300128106-1,,,2,5,
Sankofa,Highgate Society,Liam Wang,SNK-0031,SNK-0031-F1,Field 1,4.31,2000,Male,NID-963130648-6,,,7,1,
Sankofa,Highgate Society,Liam Wang,SNK-0031,SNK-0031-F2,Field 2,2.20,2000,Male,,,,,,
Sankofa,Clearwater Society,Elena Smith,SNK-0032,SNK-0032-F1,Field 1,3.97,1960,Female,NID-357779696-4,,,5,4,
Sankofa,Clearwater Society,Elena Smith,SNK-0032,SNK-0032-F2,Field 2,3.17,1960,Female,,,,,,
Sankofa,Palmgrove Society,Mateo Reyes,SNK-0033,SNK-0033-F1,Field 1,2.42,1990,Male,,,+1562934928,8,2,Yes
Sankofa,Highgate Society,Chen Haddad,SNK-0034,SNK-0034-F1,Field 1,4.47,1991,Male,,,+1084816055,2,4,
Sankofa,Highgate Society,Arjun Reyes,SNK-0035,SNK-0035-F1,Field 1,0.61,1976,Male,NID-362663572-2,,+1895187244,6,6,Yes
Sankofa,Highgate Society,Arjun Reyes,SNK-0035,SNK-0035-F2,Field 2,4.88,1976,Male,,,,,,
Sankofa,Southbank Society,Liam Patel,SNK-0036,SNK-0036-F1,Field 1,2.68,1972,Male,NID-576948345-4,,,7,0,
Sankofa,Southbank Society,Maria Andersson,SNK-0037,SNK-0037-F1,Field 1,2.77,1962,Female,,,,4,0,Yes
Sankofa,Clearwater Society,Chen Smith,SNK-0038,SNK-0038-F1,Field 1,4.72,1989,Male,NID-336858758-5,,,4,1,No
Sankofa,Clearwater Society,Chen Smith,SNK-0038,SNK-0038-F2,Field 2,3.98,1989,Male,,,,,,
Sankofa,Southbank Society,Arjun Garcia,SNK-0039,SNK-0039-F1,Field 1,4.78,1992,Male,NID-161127283-7,,+1009229322,1,3,Yes
Sankofa,Southbank Society,Arjun Garcia,SNK-0039,SNK-0039-F2,Field 2,1.75,1992,Male,,,,,,
Sankofa,Highgate Society,Lucas Reyes,SNK-0040,SNK-0040-F1,Field 1,3.18,1972,Male,,,+1633865255,8,1,No
Sankofa,Highgate Society,Lucas Reyes,SNK-0040,SNK-0040-F2,Field 2,4.81,1972,Male,,,,,,
Sankofa,Clearwater Society,Arjun Santos,SNK-0041,SNK-0041-F1,Field 1,3.18,1973,Male,,,+1428243920,1,6,
Sankofa,Clearwater Society,Arjun Santos,SNK-0041,SNK-0041-F2,Field 2,2.90,1973,Male,,,,,,
Sankofa,Clearwater Society,Lucia Ivanov,SNK-0042,SNK-0042-F1,Field 1,0.57,1960,Female,NID-644123402-7,,+1017376637,8,1,
Sankofa,Clearwater Society,Lucia Ivanov,SNK-0042,SNK-0042-F2,Field 2,2.18,1960,Female,,,,,,
Sankofa,Goldfield Society,Daniel Nguyen,SNK-0043,SNK-0043-F1,Field 1,4.75,1988,Male,NID-841046226-9,,+1260028220,5,3,No
Sankofa,Goldfield Society,Daniel Nguyen,SNK-0043,SNK-0043-F2,Field 2,1.45,1988,Male,,,,,,
Sankofa,Southbank Society,Arjun Fischer,SNK-0044,SNK-0044-F1,Field 1,2.97,1986,Male,NID-072439818-5,,,4,5,
Sankofa,Southbank Society,Arjun Patel,SNK-0045,SNK-0045-F1,Field 1,1.04,1995,Male,NID-898435618-2,,+1663147871,3,6,
Sankofa,Southbank Society,Arjun Patel,SNK-0045,SNK-0045-F2,Field 2,3.92,1995,Male,,,,,,
Sankofa,Palmgrove Society,Maria Fischer,SNK-0046,SNK-0046-F1,Field 1,2.27,1961,Female,,,+1134978456,7,5,
Sankofa,Highgate Society,Noah Khan,SNK-0047,SNK-0047-F1,Field 1,0.86,1990,Male,NID-077545097-8,,+1630735973,2,5,No
Sankofa,Highgate Society,Noah Khan,SNK-0047,SNK-0047-F2,Field 2,3.24,1990,Male,,,,,,
Sankofa,Goldfield Society,Arjun Reyes,SNK-0048,SNK-0048-F1,Field 1,2.20,1965,Male,NID-166875793-9,,+1146873308,6,5,No
Sankofa,Highgate Society,Noah Ivanov,SNK-0049,SNK-0049-F1,Field 1,3.75,1988,Male,NID-789053479-6,,+1757315141,2,3,Yes
Sankofa,Highgate Society,Daniel Patel,SNK-0050,SNK-0050-F1,Field 1,1.45,1999,Male,,,,9,5,
Sankofa,Highgate Society,Daniel Patel,SNK-0050,SNK-0050-F2,Field 2,3.06,1999,Male,,,,,,
Sankofa,Highgate Society,Arjun Ivanov,SNK-0051,SNK-0051-F1,Field 1,4.80,1972,Male,NID-998367336-0,,+1953140579,6,6,
Sankofa,Palmgrove Society,Noah Silva,SNK-0052,SNK-0052-F1,Field 1,0.73,1967,Male,,,+1614394668,6,2,No
Sankofa,Palmgrove Society,Noah Silva,SNK-0052,SNK-0052-F2,Field 2,3.26,1967,Male,,,,,,
Sankofa,Southbank Society,Elena Larsen,SNK-0053,SNK-0053-F1,Field 1,2.19,1974,Female,,,,3,2,
Sankofa,Highgate Society,Fatima Costa,SNK-0054,SNK-0054-F1,Field 1,4.11,1962,Female,,,+1703098733,10,0,No
Sankofa,Palmgrove Society,Noah Nguyen,SNK-0055,SNK-0055-F1,Field 1,3.48,1969,Male,,,+1008598974,5,4,Yes
Sankofa,Clearwater Society,Chen Nguyen,SNK-0056,SNK-0056-F1,Field 1,2.77,1981,Male,,,,2,5,No
Sankofa,Clearwater Society,Liam Rossi,SNK-0057,SNK-0057-F1,Field 1,1.60,1982,Male,NID-991494084-0,,,4,4,
Sankofa,Clearwater Society,Mateo Fischer,SNK-0058,SNK-0058-F1,Field 1,1.09,1984,Male,NID-610915876-4,,+1163781996,6,0,Yes
Sankofa,Clearwater Society,Mateo Fischer,SNK-0058,SNK-0058-F2,Field 2,4.63,1984,Male,,,,,,
Sankofa,Palmgrove Society,Liam Dubois,SNK-0059,SNK-0059-F1,Field 1,4.69,1982,Male,NID-051926646-5,,+1272806571,4,4,
Sankofa,Palmgrove Society,James Larsen,SNK-0060,SNK-0060-F1,Field 1,3.07,1994,Male,NID-177322126-8,,+1923405131,3,0,
Sankofa,Highgate Society,Omar Reyes,SNK-0061,SNK-0061-F1,Field 1,2.43,1976,Male,,,+1482521043,10,0,
Sankofa,Highgate Society,Omar Reyes,SNK-0061,SNK-0061-F2,Field 2,1.74,1976,Male,,,,,,
Sankofa,Palmgrove Society,Noah Dubois,SNK-0062,SNK-0062-F1,Field 1,2.43,1983,Male,NID-192088542-4,,+1497549957,10,3,
Sankofa,Southbank Society,Sarah Wang,SNK-0063,SNK-0063-F1,Field 1,4.89,1988,Female,NID-305974528-8,,+1113481702,5,4,Yes
Sankofa,Goldfield Society,Arjun Fischer,SNK-0064,SNK-0064-F1,Field 1,2.82,1997,Male,,,,7,1,
Sankofa,Goldfield Society,Arjun Fischer,SNK-0064,SNK-0064-F2,Field 2,2.06,1997,Male,,,,,,
Sankofa,Highgate Society,James Larsen,SNK-0065,SNK-0065-F1,Field 1,2.04,1969,Male,NID-972733112-6,,+1137317492,3,6,Yes
Sankofa,Highgate Society,James Larsen,SNK-0065,SNK-0065-F2,Field 2,2.51,1969,Male,,,,,,
Sankofa,Goldfield Society,Chen Dubois,SNK-0066,SNK-0066-F1,Field 1,3.37,1992,Male,NID-782580273-0,,+1085722389,10,3,No
Sankofa,Goldfield Society,Chen Dubois,SNK-0066,SNK-0066-F2,Field 2,2.63,1992,Male,,,,,,
Sankofa,Palmgrove Society,Lucia Dubois,SNK-0067,SNK-0067-F1,Field 1,0.74,1974,Female,NID-252048545-3,,+1616432072,1,2,
Sankofa,Palmgrove Society,Lucia Dubois,SNK-0067,SNK-0067-F2,Field 2,4.88,1974,Female,,,,,,
Sankofa,Goldfield Society,Mateo Smith,SNK-0068,SNK-0068-F1,Field 1,4.72,1993,Male,NID-069007275-0,,+1158202104,6,2,
Sankofa,Goldfield Society,Mateo Smith,SNK-0068,SNK-0068-F2,Field 2,1.81,1993,Male,,,,,,
Sankofa,Highgate Society,Sarah Costa,SNK-0069,SNK-0069-F1,Field 1,2.18,1971,Female,,,+1465247596,9,1,
Sankofa,Highgate Society,Maria Andersson,SNK-0070,SNK-0070-F1,Field 1,3.54,1996,Female,NID-413255908-3,,+1084805784,2,5,
Sankofa,Southbank Society,Mateo Haddad,SNK-0071,SNK-0071-F1,Field 1,4.93,1993,Male,,,+1461094129,9,6,Yes
Sankofa,Southbank Society,Mateo Haddad,SNK-0071,SNK-0071-F2,Field 2,3.80,1993,Male,,,,,,
Sankofa,Highgate Society,Mateo Andersson,SNK-0072,SNK-0072-F1,Field 1,1.98,1973,Male,NID-089891285-0,,+1662141587,5,5,
Sankofa,Highgate Society,Mateo Andersson,SNK-0072,SNK-0072-F2,Field 2,3.95,1973,Male,,,,,,
Sankofa,Southbank Society,Daniel Larsen,SNK-0073,SNK-0073-F1,Field 1,1.61,1973,Male,,,+1171803773,5,6,
Sankofa,Southbank Society,Daniel Larsen,SNK-0073,SNK-0073-F2,Field 2,4.20,1973,Male,,,,,,
Sankofa,Highgate Society,Mateo Kim,SNK-0074,SNK-0074-F1,Field 1,4.79,1962,Male,NID-221430265-1,,,6,0,Yes
Sankofa,Clearwater Society,Lucia Muller,SNK-0075,SNK-0075-F1,Field 1,3.11,1984,Female,NID-274774122-7,,+1721269269,2,1,
Sankofa,Clearwater Society,David Smith,SNK-0076,SNK-0076-F1,Field 1,3.76,1967,Male,NID-072179299-6,,+1720681749,10,4,
Sankofa,Southbank Society,Priya Wang,SNK-0077,SNK-0077-F1,Field 1,1.68,1966,Female,NID-614827603-9,,+1722047898,4,6,
Sankofa,Palmgrove Society,Daniel Smith,SNK-0078,SNK-0078-F1,Field 1,3.08,1989,Male,,,+1326282275,3,4,
Sankofa,Southbank Society,Omar Patel,SNK-0079,SNK-0079-F1,Field 1,4.29,1994,Male,NID-960338536-7,,+1434205078,3,2,Yes
Sankofa,Southbank Society,Omar Patel,SNK-0079,SNK-0079-F2,Field 2,1.58,1994,Male,,,,,,
Sankofa,Southbank Society,Arjun Dubois,SNK-0080,SNK-0080-F1,Field 1,2.93,1975,Male,NID-813614851-7,,+1081618383,10,5,Yes
Sankofa,Southbank Society,Arjun Dubois,SNK-0080,SNK-0080-F2,Field 2,1.18,1975,Male,,,,,,
Sankofa,Southbank Society,Lucas Silva,SNK-0081,SNK-0081-F1,Field 1,4.23,1960,Male,NID-524927111-9,,+1367954066,3,0,Yes
Sankofa,Southbank Society,Lucas Silva,SNK-0081,SNK-0081-F2,Field 2,1.43,1960,Male,,,,,,
Sankofa,Goldfield Society,Noah Fischer,SNK-0082,SNK-0082-F1,Field 1,2.28,1990,Male,NID-506323522-0,,+1595309866,1,1,
Sankofa,Goldfield Society,Noah Fischer,SNK-0082,SNK-0082-F2,Field 2,2.59,1990,Male,,,,,,
Sankofa,Clearwater Society,Sarah Rossi,SNK-0083,SNK-0083-F1,Field 1,1.39,1977,Female,NID-849085579-3,,+1818445687,3,0,No
Sankofa,Southbank Society,Chen Patel,SNK-0084,SNK-0084-F1,Field 1,2.69,1996,Male,,,+1861284691,5,6,Yes
Sankofa,Southbank Society,Chen Patel,SNK-0084,SNK-0084-F2,Field 2,3.68,1996,Male,,,,,,
Sankofa,Clearwater Society,Mei Kim,SNK-0085,SNK-0085-F1,Field 1,2.30,1982,Female,NID-684103846-8,,+1457508254,9,6,Yes
Sankofa,Clearwater Society,Mei Kim,SNK-0085,SNK-0085-F2,Field 2,4.91,1982,Female,,,,,,
Sankofa,Highgate Society,Lucas Smith,SNK-0086,SNK-0086-F1,Field 1,3.75,1983,Male,NID-648913999-9,,+1694626882,6,3,
Sankofa,Highgate Society,Lucas Smith,SNK-0086,SNK-0086-F2,Field 2,1.40,1983,Male,,,,,,
Sankofa,Clearwater Society,Liam Wang,SNK-0087,SNK-0087-F1,Field 1,2.14,1981,Male,NID-855186146-8,,,3,3,
Sankofa,Clearwater Society,Liam Wang,SNK-0087,SNK-0087-F2,Field 2,4.60,1981,Male,,,,,,
Sankofa,Palmgrove Society,Lucas Haddad,SNK-0088,SNK-0088-F1,Field 1,2.54,1967,Male,,,+1718243813,5,2,
Sankofa,Palmgrove Society,Lucas Haddad,SNK-0088,SNK-0088-F2,Field 2,4.81,1967,Male,,,,,,
Sankofa,Goldfield Society,James Nguyen,SNK-0089,SNK-0089-F1,Field 1,4.51,1987,Male,,,+1303286758,2,2,Yes
Sankofa,Goldfield Society,James Nguyen,SNK-0089,SNK-0089-F2,Field 2,2.75,1987,Male,,,,,,
Sankofa,Palmgrove Society,Liam Garcia,SNK-0090,SNK-0090-F1,Field 1,3.71,1970,Male,,,+1263213432,9,3,
Sankofa,Palmgrove Society,Liam Garcia,SNK-0090,SNK-0090-F2,Field 2,3.62,1970,Male,,,,,,
Sankofa,Clearwater Society,Noah Smith,SNK-0091,SNK-0091-F1,Field 1,2.52,1966,Male,NID-892014703-2,,+1657672043,9,3,
Sankofa,Clearwater Society,Noah Smith,SNK-0091,SNK-0091-F2,Field 2,4.91,1966,Male,,,,,,
Sankofa,Highgate Society,Omar Garcia,SNK-0092,SNK-0092-F1,Field 1,2.72,1999,Male,NID-006106731-5,,+1810736198,5,2,No
Sankofa,Highgate Society,Omar Garcia,SNK-0092,SNK-0092-F2,Field 2,2.22,1999,Male,,,,,,
Sankofa,Goldfield Society,Lucas Fischer,SNK-0093,SNK-0093-F1,Field 1,2.60,1966,Male,NID-905571024-8,,+1924971632,2,3,
Sankofa,Southbank Society,James Smith,SNK-0094,SNK-0094-F1,Field 1,0.77,1980,Male,,,,5,3,
Sankofa,Goldfield Society,Mei Patel,SNK-0095,SNK-0095-F1,Field 1,3.30,1999,Female,,,,5,1,
Sankofa,Goldfield Society,Mei Patel,SNK-0095,SNK-0095-F2,Field 2,0.78,1999,Female,,,,,,
Sankofa,Palmgrove Society,Omar Kim,SNK-0096,SNK-0096-F1,Field 1,1.63,1987,Male,NID-562934934-3,,+1331181408,4,2,
Sankofa,Palmgrove Society,Noah Nguyen,SNK-0097,SNK-0097-F1,Field 1,4.25,1969,Male,,,+1533835449,10,4,
Sankofa,Palmgrove Society,Noah Nguyen,SNK-0097,SNK-0097-F2,Field 2,4.70,1969,Male,,,,,,
Sankofa,Palmgrove Society,Mateo Patel,SNK-0098,SNK-0098-F1,Field 1,3.51,1960,Male,,,,8,1,
Sankofa,Highgate Society,David Muller,SNK-0099,SNK-0099-F1,Field 1,1.62,1989,Male,NID-544212729-8,,,9,1,Yes
Sankofa,Highgate Society,David Muller,SNK-0099,SNK-0099-F2,Field 2,0.60,1989,Male,,,,,,
Sankofa,Southbank Society,Priya Patel,SNK-0100,SNK-0100-F1,Field 1,4.30,1988,Female,,,+1987366618,2,2,
Sankofa,Clearwater Society,Maria Ivanov,SNK-0101,SNK-0101-F1,Field 1,4.55,1971,Female,NID-194092632-7,,+1950504188,1,4,Yes
Sankofa,Clearwater Society,Maria Ivanov,SNK-0101,SNK-0101-F2,Field 2,1.62,1971,Female,,,,,,
Sankofa,Southbank Society,Chen Rossi,SNK-0102,SNK-0102-F1,Field 1,2.58,1989,Male,,,+1917070625,6,1,Yes
Sankofa,Southbank Society,Chen Rossi,SNK-0102,SNK-0102-F2,Field 2,4.67,1989,Male,,,,,,
Sankofa,Clearwater Society,Noah Patel,SNK-0103,SNK-0103-F1,Field 1,4.90,1970,Male,,,+1472899117,10,6,No
Sankofa,Goldfield Society,Noah Larsen,SNK-0104,SNK-0104-F1,Field 1,4.50,1998,Male,NID-702413924-7,,+1861829666,1,0,
Sankofa,Highgate Society,Daniel Reyes,SNK-0105,SNK-0105-F1,Field 1,2.80,1972,Male,NID-656839628-8,,,10,6,No
Sankofa,Highgate Society,Daniel Reyes,SNK-0105,SNK-0105-F2,Field 2,3.21,1972,Male,,,,,,
Sankofa,Goldfield Society,Chen Silva,SNK-0106,SNK-0106-F1,Field 1,1.55,1996,Male,,,+1584102814,10,6,Yes
Sankofa,Clearwater Society,Chen Nguyen,SNK-0107,SNK-0107-F1,Field 1,3.78,1979,Male,,,+1255070211,9,3,
Sankofa,Clearwater Society,Chen Nguyen,SNK-0107,SNK-0107-F2,Field 2,0.59,1979,Male,,,,,,
Sankofa,Goldfield Society,Mei Reyes,SNK-0108,SNK-0108-F1,Field 1,1.73,1976,Female,NID-274271962-2,,+1905693169,4,5,No
Sankofa,Goldfield Society,Mei Reyes,SNK-0108,SNK-0108-F2,Field 2,3.50,1976,Female,,,,,,
Nkabom,Hillcrest Society,Noah Silva,NKB-0001,NKB-0001-F1,Field 1,2.79,1973,Male,NID-631386262-0,,+1928574507,8,3,
Nkabom,Meadowbrook Society,Omar Santos,NKB-0002,NKB-0002-F1,Field 1,2.63,1991,Male,,,+1422238338,4,2,
Nkabom,Meadowbrook Society,Omar Santos,NKB-0002,NKB-0002-F2,Field 2,4.79,1991,Male,,,,,,
Nkabom,Silverstone Society,James Nguyen,NKB-0003,NKB-0003-F1,Field 1,3.28,1973,Male,NID-301978329-1,,+1937793607,1,3,No
Nkabom,Meadowbrook Society,Daniel Smith,NKB-0004,NKB-0004-F1,Field 1,3.45,1990,Male,NID-336244416-7,,+1586481944,8,4,
Nkabom,Meadowbrook Society,Daniel Smith,NKB-0004,NKB-0004-F2,Field 2,3.39,1990,Male,,,,,,
Nkabom,Sunbright Society,James Silva,NKB-0005,NKB-0005-F1,Field 1,1.37,1988,Male,NID-105341379-5,,,2,3,Yes
Nkabom,Meadowbrook Society,Mateo Kim,NKB-0006,NKB-0006-F1,Field 1,4.88,1984,Male,,,+1027390017,10,5,Yes
Nkabom,Sunbright Society,Fatima Reyes,NKB-0007,NKB-0007-F1,Field 1,3.42,1968,Female,,,+1513120135,1,1,
Nkabom,Sunbright Society,Fatima Reyes,NKB-0007,NKB-0007-F2,Field 2,4.02,1968,Female,,,,,,
Nkabom,Silverstone Society,Fatima Silva,NKB-0008,NKB-0008-F1,Field 1,2.30,1993,Female,,,,4,5,
Nkabom,Sunbright Society,Arjun Costa,NKB-0009,NKB-0009-F1,Field 1,3.25,1963,Male,,,+1398962596,2,6,No
Nkabom,Sunbright Society,Arjun Costa,NKB-0009,NKB-0009-F2,Field 2,2.12,1963,Male,,,,,,
Nkabom,Hillcrest Society,Lucas Kim,NKB-0010,NKB-0010-F1,Field 1,1.91,1987,Male,,,+1553917037,10,1,
Nkabom,Silverstone Society,Mateo Silva,NKB-0011,NKB-0011-F1,Field 1,4.73,1981,Male,,,+1087744017,9,1,Yes
Nkabom,Sunbright Society,James Santos,NKB-0012,NKB-0012-F1,Field 1,3.20,1989,Male,NID-218341298-3,,+1383940759,1,0,
Nkabom,Sunbright Society,James Santos,NKB-0012,NKB-0012-F2,Field 2,1.71,1989,Male,,,,,,
Nkabom,Clearwater Society,Mateo Patel,NKB-0013,NKB-0013-F1,Field 1,1.50,1966,Male,,,+1064653796,2,3,No
Nkabom,Clearwater Society,Chen Smith,NKB-0014,NKB-0014-F1,Field 1,1.13,1966,Male,NID-712409487-8,,,9,2,Yes
Nkabom,Silverstone Society,Elena Kim,NKB-0015,NKB-0015-F1,Field 1,1.80,1995,Female,,,+1019910026,10,6,
Nkabom,Silverstone Society,Elena Kim,NKB-0015,NKB-0015-F2,Field 2,1.98,1995,Female,,,,,,
Nkabom,Clearwater Society,Sofia Ivanov,NKB-0016,NKB-0016-F1,Field 1,3.68,1997,Female,NID-732124264-2,,,5,6,Yes
Nkabom,Hillcrest Society,Omar Rossi,NKB-0017,NKB-0017-F1,Field 1,4.62,1978,Male,,,+1942391705,2,1,Yes
Nkabom,Hillcrest Society,Noah Muller,NKB-0018,NKB-0018-F1,Field 1,2.93,1973,Male,NID-383608373-7,,+1644826168,2,1,Yes
Nkabom,Hillcrest Society,Noah Muller,NKB-0018,NKB-0018-F2,Field 2,2.79,1973,Male,,,,,,
Nkabom,Hillcrest Society,Omar Novak,NKB-0019,NKB-0019-F1,Field 1,1.67,1984,Male,NID-113962800-0,,+1948300600,4,6,Yes
Nkabom,Sunbright Society,Fatima Haddad,NKB-0020,NKB-0020-F1,Field 1,0.79,1968,Female,NID-711497227-1,,+1843644811,3,6,
Nkabom,Sunbright Society,Fatima Haddad,NKB-0020,NKB-0020-F2,Field 2,0.84,1968,Female,,,,,,
Nkabom,Meadowbrook Society,Arjun Costa,NKB-0021,NKB-0021-F1,Field 1,2.64,1993,Male,NID-787191041-5,,+1848943684,2,0,
Nkabom,Meadowbrook Society,Arjun Costa,NKB-0021,NKB-0021-F2,Field 2,0.98,1993,Male,,,,,,
Nkabom,Hillcrest Society,Mateo Rossi,NKB-0022,NKB-0022-F1,Field 1,3.54,1983,Male,,,+1514292934,5,1,Yes
Nkabom,Hillcrest Society,David Costa,NKB-0023,NKB-0023-F1,Field 1,3.79,1988,Male,NID-371515931-8,,+1870457435,2,3,No
Nkabom,Hillcrest Society,David Costa,NKB-0023,NKB-0023-F2,Field 2,0.51,1988,Male,,,,,,
Nkabom,Silverstone Society,Lucas Andersson,NKB-0024,NKB-0024-F1,Field 1,2.15,1962,Male,NID-555427408-8,,,6,2,
Nkabom,Hillcrest Society,Chen Rossi,NKB-0025,NKB-0025-F1,Field 1,2.07,1983,Male,NID-397040750-5,,+1896536605,8,6,Yes
Nkabom,Hillcrest Society,Chen Rossi,NKB-0025,NKB-0025-F2,Field 2,3.42,1983,Male,,,,,,
Nkabom,Clearwater Society,Chen Ivanov,NKB-0026,NKB-0026-F1,Field 1,1.55,1985,Male,NID-237557600-8,,+1278191072,10,6,
Nkabom,Clearwater Society,Chen Ivanov,NKB-0026,NKB-0026-F2,Field 2,2.79,1985,Male,,,,,,
